title,author,length
Breaking the Mould,"Raghuram Rajan,Rohit Lamba",Length: 11 hrs and 56 mins
Poor Charlie’s Almanack,Charles T. Munger,Length: 13 hrs and 9 mins
Apartment 239 (Hindi Edition),Elford Alley,Length: 7 hrs and 49 mins
21 Shreshth Kahaniyan Prem Chand (Hindi Edition),Munshi Premchand,Length: 7 hrs and 44 mins
Kautilya Arthshastra (Hindi Edition),Chanakya,Length: 6 hrs
"The Sandman, Act I (Hindi Edition)","Neil Gaiman,Dirk Maggs",Length: 11 hrs and 3 mins
Get Organized: Do More in Less Time,"Ciara Conlon,The Great Courses",Length: 4 hrs and 45 mins
41 Anmol Kahaniya [41 Priceless Stories],Premchand,Length: 15 hrs and 28 mins
The History of Ancient Egypt,"Bob Brier,The Great Courses",Length: 24 hrs and 25 mins
How to Achieve Financial Independence and Retire Early,"JD Roth,The Great Courses",Length: 4 hrs and 39 mins
Choose Your Enemies Wisely,"Patrick Bet-David,Greg Dinkin",Length: 8 hrs and 6 mins
A History of British India,"The Great Courses,Hayden J. Bellenoit",Length: 12 hrs and 11 mins
Vaishali Ki Nagarvadhu [City of Vaishali],Acharya Chatursen,Length: 23 hrs and 53 mins
Pride and Prejudice,Jane Austen,Length: 11 hrs and 35 mins
Panchatantra (Hindi Edition),Vishnu Sharma,Length: 5 hrs and 41 mins
Understanding the Mysteries of Human Behavior,"Mark Leary,The Great Courses",Length: 12 hrs and 11 mins
Broken Money,Lyn Alden,Length: 17 hrs and 31 mins
Chanakya Aur Chandragupt [Chanakya and Chandragupta],Rajender Pandya,Length: 6 hrs
Husband and Wife,K. L. Slater,Length: 9 hrs and 11 mins
An Economic History of the World since 1400,"Donald J. Harreld,The Great Courses",Length: 24 hrs and 25 mins
The Blue Umbrella,Ruskin Bond,Length: 51 mins
The Craving Mind,"Judson Brewer,Jon Kabat-Zinn - foreward",Length: 8 hrs and 19 mins
Sunderkand (Hindi Edition),Goswami Tulsidas,Length: 3 hrs and 23 mins
Garuda Puran,Dr. Vinay,Length: 6 hrs and 8 mins
The Psychology of Money (Marathi Edition),Morgan Housel,Length: 8 hrs and 50 mins
Mahabharat Katha [Mahabharata Story],Amritlal Nagar,Length: 10 hrs and 41 mins
The Power of Habit (Hindi Edition),Charles Duhigg,Length: 13 hrs and 23 mins
The Magicians of Mazda (Hindi Edition),Ashwin Sanghi,Length: 17 hrs and 24 mins
He Who Fights with Monsters 10,"Shirtaloon,Travis Deverell",Length: 25 hrs and 18 mins
Orwell Collection,George Orwell,Length: 16 hrs and 18 mins
Deep Work (Marathi Edition),Cal Newport,Length: 9 hrs and 56 mins
Who Killed Moosewala?,Jupinderjit Singh,Length: 4 hrs and 54 mins
Ikigai (Hindi Edition),"Hector Garcia,Fransesc Miralles",Length: 4 hrs and 42 mins
Shiv Puran (Hindi Edition),Dr. Vinay,Length: 7 hrs and 54 mins
The Day I Became a Runner,Sohini Chattopadhyay,Length: 13 hrs and 27 mins
Babylon Ka Sabse Ameer Aadami [The Richest Man in Babylon],George S. Clason,Length: 4 hrs and 46 mins
Apke Avchetan Man Ki Shakti [The Power of Your Subconscious Mind],Dr. Joseph Murphy,Length: 8 hrs and 37 mins
"Bulls, Bears and Other Beasts",Santosh Nair,Length: 11 hrs and 8 mins
Why I Am an Atheist and Other Works,Bhagat Singh,Length: 3 hrs
Summary of The 7 Habits of Highly Effective People (Marathi Edition),Audiomatic.in,Length: 28 mins
You Are the Best Wife,Ajay K. Pandey,Length: 7 hrs and 29 mins
30 Din Mein Bane Share market Mein Safal Niveshak [Become a Successful Investor in Share Market in 30 Days],Amol Gandhi,Length: 4 hrs
Art of War,Sun Tzu,Length: 1 hr and 44 mins
Kya Khoya Kya Paya [What Was Lost What Was Found],Atal Bihari Vajpayee,Length: 2 hrs and 2 mins
A Damsel in Distress,P. G. Wodehouse,Length: 7 hrs and 9 mins
Satya Ke Sath Mere Prayog [My Experiment with Truth],M. K. Gandhi,Length: 22 hrs and 54 mins
"Master Your Time, Master Your Life",Brian Tracy,Length: 4 hrs and 2 mins
Think and Grow Rich,Napoleon Hill,Length: 9 hrs and 35 mins
Introduction to Psychology,"Catherine A. Sanderson,The Great Courses",Length: 18 hrs and 7 mins
The Power of Your Subconscious Mind,Dr. Joseph Murphy,Length: 7 hrs and 57 mins
The Monk Who Sold His Ferrari (Hindi),Robin Sharma,Length: 9 hrs and 2 mins
Quantum Body,"Dr Deepak Chopra,Jack Tuszynski - contributor,Brian Fertig - contributor MD",Length: 7 hrs
Your Deceptive Mind: A Scientific Guide to Critical Thinking Skills,"Steven Novella,The Great Courses",Length: 12 hrs and 39 mins
Vivekanand [Vivekananda],Rajendra Mohan Bhatnagar,Length: 12 hrs and 50 mins
The Stand-In,Lily Chu,Length: 10 hrs and 55 mins
Kalki Puran (Hindi Edition),Dr. Vinay,Length: 6 hrs and 10 mins
1984 (Hindi Edition),George Orwell,Length: 13 hrs and 51 mins
Chokher Bali [A Grain of Sand],Rabindranath Tagore,Length: 8 hrs and 50 mins
Kiss That Frog!,"Brian Tracy,Christina Tracy Stein",Length: 3 hrs and 51 mins
The Untethered Soul,Michael A. Singer,Length: 6 hrs and 11 mins
"Dont Lose Out, Work Out!",Rujuta Diwekar,Length: 7 hrs and 54 mins
He Felt Like a Storm (Hindi Edition),AnkSun,Length: 18 hrs and 19 mins
Fooled by Randomness,Nassim Nicholas Taleb,Length: 10 hrs and 3 mins
Utsav Amar Jati Anand Amar Gotra,OSHO,Length: 17 hrs and 51 mins
The Favor,Suzanne Wright,Length: 15 hrs and 23 mins
Dharmayoddha Kalki: Avatar of Vishnu,Kevin Missal,Length: 12 hrs and 34 mins
Sahaj Yog,OSHO,Length: 37 hrs and 10 mins
Dragon Blood - Omnibus,Lindsay Buroker,Length: 27 hrs and 34 mins
Gaban [Embezzlement],Munshi Premchand,Length: 11 hrs and 36 mins
The Lost Art of Doing Nothing,Maartje Willems,Length: 3 hrs and 20 mins
The Greatest Bengali Stories Ever Told,Arunava Sinha,Length: 10 hrs and 8 mins
Satyajit Ray Ki Kahaniyan [Stories of Satyajit Ray],Satyajit Rai,Length: 8 hrs and 12 mins
Vayam Raksham (Hindi Edition),Acharya Chatursen,Length: 24 hrs and 27 mins
Valmiki Ramayan (Hindi Edition),Valmiki,Length: 7 hrs and 17 mins
24 Hours in Paris (Hindi Edition),Romi Moondi,Length: 9 hrs and 52 mins
Meri Gita,Devdutt Pattanaik,Length: 7 hrs and 39 mins
P. G. Wodehouse Volume 2,P. G. Wodehouse,Length: 45 hrs and 27 mins
Banaras Talkies (Hindi Edition),Satya Vyas,Length: 6 hrs
Silhouette (Hindi Edition),Hermyne Khaling,Length: 14 hrs and 31 mins
The Miracle Morning (Updated and Expanded Edition),Hal Elrod,Length: 7 hrs and 22 mins
Complete Chanakya Neeti,R.P. Jain,Length: 4 hrs
Fingerprints of the Gods,Graham Hancock,Length: 18 hrs and 31 mins
My Experiments with Truth,Mohandas K. Gandhi,Length: 19 hrs and 11 mins
Kulfi and Cappuccino (Hindi Edition),Ashish Chaudhary,Length: 9 hrs and 32 mins
Everything Is F--ked (Hindi Edition),Mark Manson,Length: 9 hrs and 58 mins
Cursed (Hindi Edition),Anusree Neogi,Length: 9 hrs and 47 mins
Take It Easy,Osho,Length: 44 hrs and 25 mins
Shakespeare Ki Kahaniyaan [Shakespeare's Stories],William Shakespeare,Length: 4 hrs and 13 mins
Women and the Weight Loss Tamasha,Rujuta Diwekar,Length: 11 hrs and 38 mins
Wings of Fire,"APJ Abdul Kalam,Arun Tiwari",Length: 1 hr and 15 mins
Geetanjali,Ravindranath Tagore,Length: 3 hrs and 48 mins
Ponniyin Selvan,Kalki,Length: 61 hrs and 37 mins
Parthiban Kanavu,Kalki,Length: 10 hrs and 16 mins
Zindagi Wo Jo Aap Banaayen [Life Is What You Make It],Preeti Shenoy,Length: 7 hrs and 39 mins
Kasturi Kundal Basai,OSHO,Length: 15 hrs
"How to Talk to Anybody, Anytime, Anywhere",Chris Widener,Length: 33 mins
The Hoodie Girl (Hindi Edition),Yuen Wright,Length: 8 hrs and 34 mins
Chandrakanta (Hindi Edition),Devki Nandan Khatri,Length: 12 hrs and 41 mins
Dark Horse: Ek Ankahi Dastan (Hindi Edition),Nilotpal Mrinal,Length: 6 hrs and 13 mins
No Excuses!,Brian Tracy,Length: 6 hrs and 51 mins
A Brief History of the World,"Peter N. Stearns,The Great Courses",Length: 19 hrs and 2 mins
The Subtle Art of Not Giving a F--k (Marathi Edition),Mark Manson,Length: 7 hrs and 34 mins
Gaban [Embezzlement],Premchand,Length: 12 hrs and 25 mins
Kothewali (Hindi Edition),"Bhawana Bhatt,Nivedita Sharma",Length: 16 hrs and 44 mins
The Alexander Secret (Hindi Edition),Christopher Charles Doyle,Length: 12 hrs and 20 mins
The Power of Your Subconscious Mind (Marathi Edition),Joseph Murphy,Length: 9 hrs and 40 mins
Sochiye Aur Ameer Baniye [Think and Be Rich],Napoleon Hill,Length: 11 hrs and 10 mins
Philosophia Ultima,Osho,Length: 19 hrs and 43 mins
The Woman in White,Wilkie Collins,Length: 24 hrs and 37 mins
Tell Me Lies,J. P. Pomare,Length: 6 hrs and 20 mins
Siddhartha (Hindi Edition),Herman Hesse,Length: 5 hrs and 11 mins
Airport,Arthur Hailey,Length: 19 hrs and 17 mins
Ashtavakra Mahagitaa Vol. 1,OSHO,Length: 16 hrs and 7 mins
Boots Belts Berets (Hindi Edition),Tanushree Podder,Length: 9 hrs and 36 mins
Your Money and Your Brain,Jason Zweig,Length: 11 hrs and 39 mins
Twisted,Chandrima Das,Length: 2 hrs and 55 mins
The Search,Osho,Length: 13 hrs and 43 mins
Sherlock Holmes and the Christmas Demon,James Lovegrove,Length: 8 hrs and 45 mins
Sapiens,Yuval Noah Harari,Length: 21 hrs and 42 mins
The Quick and Easy Way to Effective Speaking,Dale Carnegie,Length: 6 hrs and 39 mins
How to Say It: Words That Make a Difference,"Allison Friederichs Atkison,The Great Courses",Length: 4 hrs and 44 mins
Maine Ram Ratan Dhan Payo,OSHO,Length: 17 hrs and 42 mins
Yupi 65 (UP 65) (Hindi Edition),Nikhil Sachan,Length: 5 hrs and 55 mins
A Brief History of the World,"Peter N. Stearns,The Great Courses",Length: 19 hrs and 2 mins
The Greatest Bengali Stories Ever Told,Arunava Sinha,Length: 10 hrs and 8 mins
Vikram and Vetaal,Kevin Missal,Length: 5 hrs and 30 mins
Elantris (Dramatized Adaptation),Brandon Sanderson,Length: 18 hrs and 35 mins
Nirvana: the Last Nightmare,Osho,Length: 15 hrs and 52 mins
The Prophet,Kahlil Gibran,Length: 1 hr and 25 mins
Great Expectations,"Charles Dickens,Howard Jacobson",Length: 20 hrs and 39 mins
7 Secrets of Shiva,Devdutt Pattanaik,Length: 4 hrs and 4 mins
"Burn the Fat, Feed the Muscle",Tom Venuto,Length: 11 hrs and 24 mins
Meri Priya Kahaniyan [My Favorite Stories],Amrita Pritam,Length: 4 hrs and 53 mins
The Engineer,Will Wight,Length: 11 hrs and 11 mins
The Great Gatsby,F. Scott Fitzgerald,Length: 4 hrs and 49 mins
Vivekananda,Pranay,Length: 3 hrs and 12 mins
Leadership,Brian Tracy,Length: 2 hrs and 11 mins
Art of Stress Management (Rupa Quick Reads),Sarvesh Gulati,Length: 1 hr and 16 mins
Call Me Maybe,Cara Bastone,Length: 5 hrs and 55 mins
The 6 Habits of Growth,Brendon Burchard,Length: 5 hrs and 4 mins
Leadership,Brian Tracy,Length: 2 hrs and 11 mins
Art of Stress Management (Rupa Quick Reads),Sarvesh Gulati,Length: 1 hr and 16 mins
Prem Panth Aiso Kathin,OSHO,Length: 27 hrs and 21 mins
Call Me Maybe,Cara Bastone,Length: 5 hrs and 55 mins
Ramayana Banaam Mahabharata [Ramayana vs. Mahabharata],Devdutt Pattanaik,Length: 6 hrs and 19 mins
A Christmas Carol,Charles Dickens,Length: 2 hrs and 44 mins
A Midsummer's Equation,Keigo Higashino,Length: 11 hrs and 38 mins
The New Confessions of an Economic Hit Man,John Perkins,Length: 12 hrs and 22 mins
Seatmate,Cara Bastone,Length: 5 hrs and 10 mins
A Sacred Life - His Holiness the Dalai Lama,Rajiv Mehrotra,Length: 1 hr and 7 mins
Trading Beyond the Matrix,Van Tharp,Length: 11 hrs and 55 mins
Speak to Win,Brian Tracy,Length: 5 hrs and 13 mins
Art of Seduction,Robert Greene,Length: 22 hrs and 51 mins
The Sialkot Saga (Hindi Edition),Ashwin Sanghi,Length: 18 hrs and 3 mins
Elon Musk,"Walter Isaacson,Johan-Frédérik Hel Guedj - traducteur,Pierre Reignier - traducteur",Length: 22 hrs and 9 mins
His Replaced Bride (Hindi Edition),Kajal Sharma,Length: 14 hrs and 4 mins
30 Days to a More Powerful Business Vocabulary,Dan Strutzel,Length: 5 hrs and 16 mins
Five Families,Selwyn Raab,Length: 33 hrs and 54 mins
The Story of Human Language,"John McWhorter,The Great Courses",Length: 18 hrs and 15 mins
The Time Traveler's Wife,Audrey Niffenegger,Length: 17 hrs and 38 mins
Fifty Shades of Grey (Hindi Edition),E. L. James,Length: 21 hrs and 48 mins
Jeevan Ka Param Satya (Hindi),OSHO,Length: 1 hr and 37 mins
The Heart Sutra,Osho,Length: 16 hrs and 24 mins
"The Harvard Business Review Leader's Handbook: Make an Impact, Inspire Your Organization, and Get to the Next Level","Ron Ashkenas,Brook Manville",Length: 8 hrs and 55 mins
Raghuvansh (Hindi Edition),Kalidas,Length: 5 hrs and 16 mins
Hamlet,William Shakespeare,Length: 7 hrs and 14 mins
The Meaning of Life: Perspectives from the World's Great Intellectual Traditions,"Jay L. Garfield,The Great Courses",Length: 18 hrs and 42 mins
How to Stop Worrying and Start Living,Dale Carnegie,Length: 9 hrs and 42 mins
21 Great Leaders (Marathi Edition),"Pat Williams,Nilima Karmarkar - translator",Length: 7 hrs and 17 mins
Why We Get Sick,Benjamin Bikman PhD,Length: 6 hrs and 54 mins
Chinta Chhodo Sukh Se Jiyo,Dale Carnegie,Length: 10 hrs and 57 mins
The Strength In Our Scars,Bianca Sparacino,Length: 2 hrs and 10 mins
Naqaab,J. P. Pomare,Length: 7 hrs and 56 mins
Great Mythologies of the World,"The Great Courses,Grant L. Voth,Julius H. Bailey,Kathryn McClymond,Robert André LaFleur",Length: 31 hrs and 36 mins
The Yugas,"Joseph Selbie,David Steinmetz,Swami Kriyananda - foreword",Length: 12 hrs and 43 mins
Jin Sutra Vol.1,OSHO,Length: 16 hrs and 57 mins
Anne of Green Gables,Lucy Maud Montgomery,Length: 9 hrs and 22 mins
The Contract,Melanie Moreland,Length: 8 hrs and 43 mins
"Harry Potter and the Half-Blood Prince, Book 6",J.K. Rowling,Length: 20 hrs and 31 mins
Absolute Tao,OSHO,Length: 15 hrs and 15 mins
The Ikigai Journey (Hindi Edition),"Hector Garcia,Fransesc Miralles",Length: 6 hrs and 39 mins
The Nuremberg Trial,"John Tusa,Ann Tusa",Length: 25 hrs and 45 mins
My Inventions,Nikola Tesla,Length: 2 hrs and 44 mins
Kaam Kala Ke Bhed [Difference of Art],Acharya Chatursen,Length: 5 hrs and 56 mins
Jinnah Bharat Vibhajan Ke Aine Mein [Jinnah in the Mirror of Partition of India],Jaswant Singh,Length: 22 hrs and 47 mins
A Sacred Life - His Holiness the Dalai Lama,Rajiv Mehrotra,Length: 1 hr and 7 mins
What Is Life?,"Erwin Schrödinger,Roger Penrose - foreword",Length: 6 hrs and 8 mins
Sevasadan [Service House],Munshi Premchand,Length: 12 hrs and 13 mins
Dilli Darbaar (Hindi Edition),Satya Vyas,Length: 5 hrs and 18 mins
Sherlock Holmes: The Voice of Treason,"George Mann,Cavan Scott",Length: 8 hrs
Godaan (Hindi Edition),Munshi Premchand,Length: 16 hrs and 17 mins
An Indian Spy in Pakistan,Mohanlal Bhaskar,Length: 7 hrs and 11 mins
The Secret of the Druids,Christopher C. Doyle,Length: 9 hrs and 7 mins
Swami Vivekananda,Gautam Ghosh,Length: 6 hrs and 52 mins
The Alchemist (Hindi Edition),"Paulo Coelho,Anu Singh - translator",Length: 6 hrs and 36 mins
Breakfast at Tiffany's,Truman Capote,Length: 2 hrs and 50 mins
Jin Sutra Vol.1,OSHO,Length: 16 hrs and 57 mins
The Eleventh Commandment,Jeffrey Archer,Length: 10 hrs and 50 mins
Kamayani (Hindi Edition),Jaishankar Prasad,Length: 3 hrs and 53 mins
Bade Ghar Ki Beti Aur Anya Kahaniyaan [Big Ghar Ki Beti and Other Stories],Premchand,Length: 8 hrs and 27 mins
Adult Children of Emotionally Immature Parents,Lindsay C. Gibson PsyD,Length: 6 hrs and 50 mins
The Monogram Murders,"Sophie Hannah,Agatha Christie",Length: 11 hrs and 13 mins
"Change Your Questions, Change Your Life",Marilee Adams,Length: 4 hrs and 43 mins
"Harry Potter and the Prisoner of Azkaban, Book 3",J.K. Rowling,Length: 12 hrs and 3 mins
A Little History of Economics,Niall Kishtainy,Length: 9 hrs and 52 mins
