title,author,length
Breaking the Mould,"Raghuram Rajan,Rohit Lamba",Length: 11 hrs and 56 mins
Poor Charlie’s Almanack,Charles T. Munger,Length: 13 hrs and 9 mins
Apartment 239 (Hindi Edition),Elford Alley,Length: 7 hrs and 49 mins
21 Shreshth Kahaniyan Prem Chand (Hindi Edition),Munshi Premchand,Length: 7 hrs and 44 mins
Kautilya Arthshastra (Hindi Edition),Chanakya,Length: 6 hrs
"The Sandman, Act I (Hindi Edition)","Neil Gaiman,Dirk Maggs",Length: 11 hrs and 3 mins
Get Organized: Do More in Less Time,"Ciara Conlon,The Great Courses",Length: 4 hrs and 45 mins
41 Anmol Kahaniya [41 Priceless Stories],Premchand,Length: 15 hrs and 28 mins
The History of Ancient Egypt,"Bob Brier,The Great Courses",Length: 24 hrs and 25 mins
How to Achieve Financial Independence and Retire Early,"JD Roth,The Great Courses",Length: 4 hrs and 39 mins
Choose Your Enemies Wisely,"Patrick Bet-David,Greg Dinkin",Length: 8 hrs and 6 mins
A History of British India,"The Great Courses,Hayden J. Bellenoit",Length: 12 hrs and 11 mins
Vaishali Ki Nagarvadhu [City of Vaishali],Acharya Chatursen,Length: 23 hrs and 53 mins
Pride and Prejudice,Jane Austen,Length: 11 hrs and 35 mins
Panchatantra (Hindi Edition),Vishnu Sharma,Length: 5 hrs and 41 mins
Understanding the Mysteries of Human Behavior,"Mark Leary,The Great Courses",Length: 12 hrs and 11 mins
Broken Money,Lyn Alden,Length: 17 hrs and 31 mins
Chanakya Aur Chandragupt [Chanakya and Chandragupta],Rajender Pandya,Length: 6 hrs
Husband and Wife,K. L. Slater,Length: 9 hrs and 11 mins
An Economic History of the World since 1400,"Donald J. Harreld,The Great Courses",Length: 24 hrs and 25 mins
